Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
231,0.21251,18.463,0.139453,32.11,68.00,785.00
232,0.334536,31.765,0.179688,32.10,68.00,785.00
233,0.872146,24.372,0.205469,32.13,68.00,785.00
234,0.256875,27.115,0.258984,31.93,68.00,785.00
235,0.318041,34.118,0.164453,31.91,68.00,785.00
236,0.196204,17.447,0.0898438,32.03,68.00,767.00
237,0.0658712,37.640,0.374219,32.13,68.00,767.00
238,0.0274649,17.164,0.0664062,32.07,68.00,767.00
239,0.247258,27.272,0.178125,32.15,68.00,767.00
240,0.495031,31.548,0.432422,32.00,68.00,767.00
241,0.678615,31.438,0.50625,32.10,68.00,767.00
242,0.418732,35.413,0.277344,32.01,68.00,767.00
243,0.509642,36.437,0.166797,32.05,68.00,799.00
244,0.266832,22.647,0,32.10,68.00,799.00
245,0.456629,34.971,0.376953,31.87,68.00,799.00
246,0.223779,31.875,0.181641,32.07,68.00,799.00
247,0.395511,24.541,0.108594,32.04,68.00,799.00
248,0.487731,33.473,1.10898,31.90,68.00,799.00
249,0.168034,14.615,0.0441406,32.18,68.00,768.00
250,0.522071,38.816,0.242578,32.17,68.00,768.00
251,0.459449,42.657,0.220703,32.05,68.00,768.00
252,0.487259,35.508,0.422656,32.00,68.00,768.00
253,0.435186,33.477,0.277344,32.12,68.00,768.00
254,0.454459,29.725,0.303516,31.98,68.00,768.00
255,0.430807,33.128,0.317188,31.97,68.00,768.00
256,0.233628,31.805,0.2,31.98,68.00,768.00
257,0.153881,21.442,0.188281,32.09,68.00,768.00
258,0.436125,25.243,0.228516,32.11,68.00,768.00
259,0.329653,29.036,0.672656,32.22,68.00,768.00
260,0.276196,26.964,0.307422,32.10,68.00,768.00
261,0.297398,28.935,0.192188,31.92,68.00,768.00
262,0.304461,33.427,0.161719,31.95,68.00,768.00
263,0.256435,36.306,0.324219,32.08,68.00,768.00
264,0.0943804,23.290,0.142578,32.19,68.00,768.00
265,0.677741,38.108,0.216016,32.15,68.00,768.00
266,0.0886698,27.034,0.156641,32.25,68.00,768.00
267,0.284496,37.267,0.389063,32.11,68.00,768.00
268,0.2314,40.460,0.228125,31.96,68.00,768.00
269,0.270293,40.177,0.284375,32.11,68.00,768.00
270,0.0516119,29.867,0.200781,32.29,68.00,768.00
271,0.563151,27.954,0.252344,32.02,68.00,768.00
272,0.0668993,34.139,0.0902344,32.20,68.00,784.00
273,0.147024,20.184,0.0566406,31.92,68.00,784.00
274,0.143906,34.319,0.716797,32.20,68.00,784.00
275,0.225594,34.141,0.133594,32.10,68.00,784.00
276,0.0813599,15.469,0,32.28,68.00,784.00
277,0.208608,22.259,0,32.29,68.00,784.00
278,0.296034,31.656,0.009375,32.34,68.00,784.00
279,0.6587,34.217,0.0707031,32.25,68.00,779.00
280,0.34576,36.864,0.0296875,32.34,68.00,779.00
281,0.0921984,24.230,1.55469,32.29,68.00,779.00
282,0.308803,36.730,0.316016,31.99,68.00,779.00
283,0.392165,35.658,0.195703,32.22,68.00,779.00
284,0.244911,24.271,0.160938,32.30,68.00,779.00
285,0.394487,27.348,0.372266,32.23,68.00,779.00
286,0.399217,32.501,0.161719,32.19,68.00,790.00
287,0.265397,24.600,0.203906,32.17,68.00,790.00
288,0.0270166,18.382,0.0203125,32.15,68.00,790.00
289,0.268368,35.298,0.0347656,32.00,68.00,790.00
290,0.215168,25.823,0.126562,32.23,68.00,790.00
291,0.850592,35.805,0.199609,32.17,68.00,790.00
292,0.069478,28.161,0.217969,32.45,68.00,790.00
293,0.334306,22.589,0.201953,32.20,68.00,790.00
294,0.340383,32.700,1.12422,31.95,68.00,786.00
295,0.0907927,20.962,0.0964844,32.10,68.00,786.00
296,0.0423489,25.828,0.143359,32.04,68.00,786.00
297,0.276674,32.080,0.103125,32.20,68.00,786.00
298,0.483648,26.305,0.0984375,32.23,68.00,786.00
299,0.208487,15.651,0.175,32.26,68.00,786.00
300,0.480238,39.084,0.339063,32.30,68.00,786.00
301,0.178373,30.648,0,32.06,68.00,769.00
302,0.188441,23.046,0.025,32.10,68.00,769.00
303,0.113138,22.370,0.0375,32.24,68.00,769.00
304,0.500182,22.431,0.0710937,32.10,68.00,769.00
305,0.284014,35.225,0,32.22,68.00,769.00
306,0.0952368,26.609,0.676953,32.27,68.00,769.00
307,0.415901,36.532,0.0386719,32.03,68.00,769.00
308,0.130642,24.445,0.266797,31.74,68.00,770.00
309,0.205441,30.550,0.185547,31.95,68.00,770.00
310,0.295803,35.138,0.3,31.88,68.00,770.00
311,0.432897,28.618,0.0566406,32.06,68.00,770.00
312,0.312648,12.973,0.0457031,31.82,68.00,770.00
313,0.293732,29.478,0.200391,32.21,68.00,770.00
314,0.0790005,15.600,0.0445313,32.30,68.00,770.00
315,0.181108,35.904,0.0871094,32.08,68.00,771.00
316,0.128531,24.750,0.212891,32.14,68.00,771.00
317,0.149559,24.504,0.217969,32.22,68.00,771.00
318,0.497404,24.160,0.167188,32.15,68.00,771.00
319,0.728477,39.310,0.294531,32.07,68.00,771.00
320,0.22849,32.365,0.223047,32.06,68.00,771.00
321,0.339921,34.337,0.210547,32.05,68.00,771.00
322,0.13645,33.540,0.117969,32.01,68.00,771.00
323,0.300441,38.082,0.374219,32.08,68.00,773.00
324,0.056982,33.469,0.775391,32.14,68.00,773.00
325,0.198079,15.047,0.0683594,32.23,68.00,773.00
326,0.427436,35.153,0.241797,32.04,68.00,773.00
327,0.279183,36.944,0.0632812,32.12,68.00,773.00
