Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
266,0.101115,18.983,0.130859,21.55,108.00,924.00
267,0.0787582,20.874,0.0511719,21.91,108.00,924.00
268,0.0846729,18.954,0.250391,21.62,108.00,924.00
269,0.0938921,11.488,0.451172,21.57,108.00,924.00
270,0.250507,22.568,0.0585938,21.77,108.00,924.00
271,0.112287,25.285,0.569141,21.84,108.00,924.00
272,0.0819206,18.579,0.404688,21.94,108.00,924.00
273,0.091279,23.121,0.0152344,22.05,108.00,924.00
274,0.0691595,28.198,0.439844,21.90,108.00,924.00
275,0.296006,26.868,0.0925781,21.78,108.00,921.00
276,0.0695448,13.143,0,21.77,108.00,921.00
277,0.0368605,24.983,0.937109,22.29,108.00,921.00
278,0.1487,26.783,0.164453,21.91,108.00,921.00
279,0.0941229,30.570,0.572266,21.81,108.00,921.00
280,0.112702,18.889,0.0132813,21.78,108.00,921.00
281,0.232867,14.206,0.581641,21.83,108.00,921.00
282,0.103392,19.885,0.0175781,21.91,108.00,921.00
283,0.102192,26.336,0.475,21.97,108.00,921.00
284,0.064887,40.284,0.128906,19.94,108.00,921.00
285,0.137563,42.709,0.285547,19.92,108.00,921.00
286,0.0975962,41.815,0.310547,19.92,108.00,921.00
287,0.10683,30.371,0.507422,19.64,108.00,921.00
288,0.123793,26.869,0.310938,19.64,108.00,921.00
289,0.180118,23.315,0.241016,19.77,108.00,921.00
290,0.105229,33.789,0.178125,19.73,108.00,922.00
291,0.0563917,25.838,0.348438,19.81,108.00,922.00
292,0.0496111,23.865,0.125,19.88,108.00,922.00
293,0.0796623,37.760,0.236328,19.69,108.00,922.00
294,0.095892,40.244,0.271094,19.70,108.00,922.00
295,0.0658932,38.813,0.158203,19.41,108.00,922.00
296,0.293941,37.168,0.0515625,19.48,108.00,922.00
297,0.0822372,38.183,0.155859,19.80,108.00,922.00
298,0.0894041,20.581,0.15,19.87,108.00,922.00
299,0.0447674,23.792,0.0828125,19.92,108.00,922.00
300,0.0764017,23.612,0.0652344,19.93,108.00,922.00
301,0.0617819,25.016,0.186719,19.91,108.00,922.00
302,0.161787,31.515,0.183203,19.88,108.00,922.00
303,0.0538578,25.863,0.151953,20.16,108.00,922.00
304,0.0894442,40.965,0.194922,20.00,108.00,922.00
305,0.0827484,27.052,0.0796875,20.00,108.00,924.00
306,0.334806,34.836,0.468359,19.78,108.00,924.00
307,0.0742025,36.212,0.175391,19.74,108.00,924.00
308,0.289793,24.168,0.0726563,20.14,108.00,924.00
309,0.113124,36.152,1.05273,19.73,108.00,924.00
310,0.0770273,38.308,0,19.79,108.00,924.00
311,0.15531,21.523,0.0527344,20.08,108.00,924.00
312,0.0776711,25.150,0,19.99,108.00,924.00
313,0.0501385,33.950,0,20.18,108.00,924.00
314,0.119843,22.516,0.0234375,20.13,108.00,940.00
315,0.0847664,36.320,0.158203,19.65,108.00,940.00
316,0.101594,34.404,0.251563,19.87,108.00,940.00
317,0.0936813,35.377,0.20625,19.88,108.00,940.00
318,0.0479527,24.140,0.0691406,19.76,108.00,940.00
319,0.295562,35.964,0.407422,19.66,108.00,940.00
320,0.0610638,10.962,0.0378906,19.85,108.00,940.00
