Time(s),Net_Receive(MB/s),CPU_Util(%),Disk_WR(0.1*MB/s),Mem_Util(0.01*MB),StateBridgeMem(Bytes),OWControllerMem(MB)
430,0.0961809,33.290,0,27.58,68.00,600.00
431,0.032548,41.765,0,27.79,68.00,600.00
432,0.384419,56.007,0,27.61,68.00,600.00
433,0.0241346,43.599,0,29.36,68.00,600.00
434,0.283342,36.949,0.0558594,28.95,68.00,607.00
435,0.326177,54.291,0,27.66,68.00,607.00
436,0.105315,45.542,0,27.41,68.00,607.00
437,0.219264,53.695,2.39297,27.42,68.00,607.00
438,0.315615,54.738,0.0378906,27.38,68.00,607.00
439,0.245397,30.971,0,27.80,68.00,607.00
440,0.460113,54.304,0.194922,27.61,68.00,607.00
441,0.567344,57.372,0.0777344,27.68,68.00,607.00
442,0.385011,46.487,0,27.72,68.00,609.00
443,0.0575695,54.704,0,27.70,68.00,609.00
444,0.0841799,36.375,0,28.02,68.00,609.00
445,0.0944414,50.032,0,27.91,68.00,609.00
446,0.625536,57.000,0.0824219,27.60,68.00,609.00
447,0.229321,58.966,0,27.71,68.00,609.00
448,0.0420179,34.516,0.00703125,27.83,68.00,609.00
449,0.329717,55.766,0,27.66,68.00,625.00
450,0.255101,40.394,0.0246094,27.93,68.00,625.00
451,0.182051,52.617,0,27.62,68.00,625.00
452,0.248181,53.905,0,27.49,68.00,625.00
453,0.0405388,48.083,0.00742188,27.91,68.00,625.00
454,0.476513,52.896,0.0550781,27.66,68.00,625.00
455,0.103804,58.007,0,27.80,68.00,625.00
456,0.167455,55.945,0,27.86,68.00,625.00
457,0.149572,32.319,0,27.86,68.00,610.00
458,0.13119,13.909,0,27.83,68.00,610.00
459,0.387921,57.810,0.0253906,27.65,68.00,610.00
460,0.384269,61.363,0.0742188,27.75,68.00,610.00
461,0.13996,26.704,2.72578,27.61,68.00,610.00
462,0.379963,55.775,0,27.79,68.00,610.00
463,0.260527,51.545,0.340625,27.35,68.00,610.00
464,0.157914,49.673,0.0554688,27.69,68.00,610.00
465,0.255675,29.516,0.111719,27.80,68.00,614.00
466,0.428629,31.177,0.152344,27.66,68.00,614.00
467,0.160339,40.989,0.0746094,27.13,68.00,614.00
468,0.0268106,28.543,0.286328,27.59,68.00,614.00
469,0.199941,33.565,0.0800781,27.80,68.00,614.00
470,0.314855,31.147,0.175391,27.70,68.00,614.00
471,0.425529,32.912,0.0738281,27.79,68.00,614.00
472,0.272124,54.016,0.205859,27.57,68.00,614.00
473,0.337103,48.154,0.141016,27.56,68.00,606.00
474,0.157205,54.791,0.160156,27.62,68.00,606.00
475,0.25272,38.579,0.101562,27.79,68.00,606.00
476,0.306802,55.279,0.318359,27.14,68.00,606.00
477,0.145261,31.361,0.666797,27.58,68.00,606.00
478,0.0902624,36.433,0.0601563,27.59,68.00,606.00
479,0.221648,55.000,0.0546875,27.67,68.00,606.00
480,0.28269,53.125,0.374609,27.42,68.00,606.00
481,0.0368195,36.812,0.100391,27.72,68.00,606.00
482,0.489682,51.390,0.238672,27.48,68.00,607.00
483,0.806418,56.912,0.151563,27.60,68.00,607.00
484,0.379102,59.348,0.0363281,27.82,68.00,607.00
485,0.603586,59.073,0,27.76,68.00,607.00
486,0.245494,57.950,0.0589844,27.70,68.00,607.00
487,0.091217,35.028,0,27.79,68.00,607.00
488,0.499384,48.033,0.0953125,27.68,68.00,607.00
489,0.080925,27.149,0,27.90,68.00,607.00
490,0.436193,55.385,0,27.71,68.00,607.00
491,0.166079,50.751,2.13086,27.66,68.00,607.00
492,0.510113,57.437,0.0257813,27.75,68.00,607.00
493,0.14304,36.561,0.0226563,27.92,68.00,607.00
494,0.16425,54.557,0.0410156,27.67,68.00,607.00
